Product Name,Size,Milk,Whip,Calories,Total Fat (g),Cholesterol (mg),Total Carbohydrates (g),Sugar (g),Protein (g),Caffeine (mg)
Brewed Coffee - Dark Roast,Short,N/A,N/A,3,0.1,0,0,0,0.3,130
Brewed Coffee - Dark Roast,Tall,N/A,N/A,4,0.1,0,0,0,0.5,193
Brewed Coffee - Dark Roast,Grande,N/A,N/A,5,0.1,0,0,0,1,260
Brewed Coffee - Dark Roast,Venti®,N/A,N/A,5,0.1,0,0,0,1,340
Brewed Coffee Traveler - Dark Roast,1 - 236 mL serving,N/A,N/A,3,0.1,0,0,0,0.3,130
Brewed Coffee - Decaf Pike Place® Roast,Short,N/A,N/A,3,0.1,0,0,0,0.3,15
Brewed Coffee - Decaf Pike Place® Roast,Tall,N/A,N/A,4,0.1,0,0,0,0.5,20
Brewed Coffee - Decaf Pike Place® Roast,Grande,N/A,N/A,5,0.1,0,0,0,1,25
Brewed Coffee - Decaf Pike Place® Roast,Venti®,N/A,N/A,5,0.1,0,0,0,1,30
Brewed Coffee Traveler - Decaf Pike Place® Roast,1 - 236 mL serving,N/A,N/A,3,0.1,0,0,0,0.3,15
Brewed Coffee - Medium Roast,Short,N/A,N/A,3,0.1,0,0,0,0.3,155
Brewed Coffee - Medium Roast,Tall,N/A,N/A,4,0.1,0,0,0,0.5,235
Brewed Coffee - Medium Roast,Grande,N/A,N/A,5,0.1,0,0,0,1,310
Brewed Coffee - Medium Roast,Venti®,N/A,N/A,5,0.1,0,0,0,1,410
Brewed Coffee Traveler - Medium Roast,1 - 236 mL serving,N/A,N/A,3,0.1,0,0,0,0.3,155
Brewed Coffee - True North Blend Blonde Roast,Short,N/A,N/A,3,0.1,0,0,0,0.3,180
Brewed Coffee - True North Blend Blonde Roast,Tall,N/A,N/A,4,0.1,0,0,0,0.5,270
Brewed Coffee - True North Blend Blonde Roast,Grande,N/A,N/A,5,0.1,0,0,0,1,360
Brewed Coffee - True North Blend Blonde Roast,Venti®,N/A,N/A,5,0.1,0,0,0,1,475
Brewed Coffee Traveler - True North Blend Blonde Roast,1 - 236 mL serving,N/A,N/A,3,0.1,0,0,0,0.3,180
Caffè Misto,Short,Nonfat,N/A,35,0.1,0,5,5,4,75
Caffè Misto,Short,2%,N/A,50,2,10,5,5,4,75
Caffè Misto,Short,Whole,N/A,70,3.5,10,5,5,3,75
Caffè Misto,Short,Soy,N/A,40,1.5,0,3,2,3,75
Caffè Misto,Short,Coconut,N/A,40,2.5,0,4,3,0.4,75
Caffè Misto,Tall,Nonfat,N/A,60,0.2,5,8,8,6,115
Caffè Misto,Tall,2%,N/A,80,3,15,8,8,5,115
Caffè Misto,Tall,Whole,N/A,100,5,15,8,8,5,115
Caffè Misto,Tall,Soy,N/A,60,2.5,0,5,4,4,115
Caffè Misto,Tall,Coconut,N/A,60,3.5,0,6,5,1,115
Caffè Misto,Grande,Nonfat,N/A,70,0.2,5,10,10,7,150
Caffè Misto,Grande,2%,N/A,110,4,15,10,10,7,150
Caffè Misto,Grande,Whole,N/A,130,7,20,10,10,7,150
Caffè Misto,Grande,Soy,N/A,80,3,0,6,5,6,150
Caffè Misto,Grande,Coconut,N/A,70,4.5,0,7,7,1,150
Caffè Misto,Venti®,Nonfat,N/A,90,0.3,5,13,13,9,195
Caffè Misto,Venti®,2%,N/A,130,5,20,13,13,9,195
Caffè Misto,Venti®,Whole,N/A,160,9,25,13,13,9,195
Caffè Misto,Venti®,Soy,N/A,100,4,0,8,6,7,195
Caffè Misto,Venti®,Coconut,N/A,80,5,0,7,7,1,195
Clover® Brewed Coffee - Dark Roast,Short,N/A,N/A,10,0,0,0,0,0,190
Clover® Brewed Coffee - Dark Roast,Tall,N/A,N/A,10,0,0,0,0,0,280
Clover® Brewed Coffee - Dark Roast,Grande,N/A,N/A,10,0,0,0,0,1,380
Clover® Brewed Coffee - Dark Roast,Venti®,N/A,N/A,10,0,0,0,0,1,470
Clover® Brewed Coffee - Light Roast,Short,N/A,N/A,10,0,0,0,0,0,155
Clover® Brewed Coffee - Light Roast,Tall,N/A,N/A,10,0,0,0,0,0,255
Clover® Brewed Coffee - Light Roast,Grande,N/A,N/A,10,0,0,0,0,1,340
Clover® Brewed Coffee - Light Roast,Venti®,N/A,N/A,10,0,0,0,0,1,425
Clover® Brewed Coffee - Medium Roast,Short,N/A,N/A,10,0,0,0,0,0,170
Clover® Brewed Coffee - Medium Roast,Tall,N/A,N/A,10,0,0,0,0,0,280
Clover® Brewed Coffee - Medium Roast,Grande,N/A,N/A,10,0,0,0,0,1,375
Clover® Brewed Coffee - Medium Roast,Venti®,N/A,N/A,10,0,0,0,0,1,445
Iced Coffee,Tall,N/A,N/A,60,0,0,15,15,0.2,120
Iced Coffee,Grande,N/A,N/A,80,0.1,0,20,20,0.3,165
Iced Coffee,Venti®,N/A,N/A,120,0.1,0,30,30,0.4,235
Iced Coffee,Trenta,N/A,N/A,160,0.1,0,40,39,1,280
Iced Coffee with Milk,Tall,Nonfat,N/A,80,0.1,0,17,17,2,90
Iced Coffee with Milk,Tall,2%,N/A,80,1,5,17,17,2,90
Iced Coffee with Milk,Tall,Whole,N/A,90,1.5,5,17,17,2,90
Iced Coffee with Milk,Tall,Soy,N/A,80,1,0,16,16,2,90
Iced Coffee with Milk,Tall,Coconut,N/A,80,1,0,17,16,0.3,110
Iced Coffee with Milk,Grande,Nonfat,N/A,100,0.1,0,23,23,2,125
Iced Coffee with Milk,Grande,2%,N/A,110,1.5,5,23,23,2,125
Iced Coffee with Milk,Grande,Whole,N/A,120,2,5,23,23,2,125
Iced Coffee with Milk,Grande,Soy,N/A,110,1,0,22,21,2,125
Iced Coffee with Milk,Grande,Coconut,N/A,100,1.5,0,22,22,0.4,150
Iced Coffee with Milk,Venti®,Nonfat,N/A,160,0.1,0,35,35,4,170
Iced Coffee with Milk,Venti®,2%,N/A,170,2,10,35,35,4,170
Iced Coffee with Milk,Venti®,Whole,N/A,190,3.5,10,35,35,4,170
Iced Coffee with Milk,Venti®,Soy,N/A,160,1.5,0,33,32,3,170
Iced Coffee with Milk,Venti®,Coconut,N/A,160,2.5,0,33,33,1,205
Iced Coffee with Milk,Trenta,Nonfat,N/A,210,0.2,5,46,46,5,190
Iced Coffee with Milk,Trenta,2%,N/A,230,3,10,46,46,5,190
Iced Coffee with Milk,Trenta,Whole,N/A,240,4.5,15,46,46,5,190
Iced Coffee with Milk,Trenta,Soy,N/A,220,2,0,44,43,4,190
Iced Coffee with Milk,Trenta,Coconut,N/A,210,3,0,44,44,1,190
Cold Brewed Coffee,Tall,N/A,N/A,2,0,0,0,0,0.1,150
Cold Brewed Coffee,Grande,N/A,N/A,3,0,0,0,0,0.2,200
Cold Brewed Coffee,Venti®,N/A,N/A,4,0,0,0,0,0.3,300
Cold Brewed Coffee,Trenta,N/A,N/A,5,0,0,0,0,0.3,330
Vanilla Sweet Cream Cold Brew,Tall,N/A,N/A,100,6,20,12,12,1,140
Vanilla Sweet Cream Cold Brew,Grande,N/A,N/A,110,6,20,14,14,1,185
Vanilla Sweet Cream Cold Brew,Venti®,N/A,N/A,200,11,40,24,24,1,275
Vanilla Sweet Cream Cold Brew,Trenta,N/A,N/A,210,11,40,26,26,2,320
Caffè Americano,Short,N/A,N/A,5,0,0,1,0,0,75
Caffè Americano,Tall,N/A,N/A,10,0,0,2,0,1,150
Caffè Americano,Grande,N/A,N/A,15,0,0,3,0,1,225
Caffè Americano,Venti®,N/A,N/A,25,0,0,4,0,1,300
Iced Caffè Americano,Tall,N/A,N/A,10,0,0,2,0,1,150
Iced Caffè Americano,Grande,N/A,N/A,15,0,0,3,0,1,225
Iced Caffè Americano,Venti®,N/A,N/A,25,0,0,4,0,1,300
Caffè Latte,Short,Nonfat,N/A,70,0.1,5,10,9,6,75
Caffè Latte,Short,2%,N/A,100,3.5,15,10,9,6,75
Caffè Latte,Short,Whole,N/A,110,6,20,10,9,6,75
Caffè Latte,Short,Soy,N/A,70,2.5,0,6,4,5,75
Caffè Latte,Short,Coconut,N/A,70,4,0,7,6,1,75
Caffè Latte,Tall,Nonfat,N/A,100,0.2,5,15,14,10,75
Caffè Latte,Tall,2%,N/A,150,6,25,15,14,10,75
Caffè Latte,Tall,Whole,N/A,180,9,30,15,14,9,75
Caffè Latte,Tall,Soy,N/A,110,4.5,0,10,6,8,75
Caffè Latte,Tall,Coconut,N/A,110,7,0,11,10,1,75
Caffè Latte,Grande,Nonfat,N/A,130,0.3,5,19,18,13,150
Caffè Latte,Grande,2%,N/A,190,7,30,19,17,12,150
Caffè Latte,Grande,Whole,N/A,230,11,35,19,17,12,150
Caffè Latte,Grande,Soy,N/A,150,5,0,13,8,10,150
Caffè Latte,Grande,Coconut,N/A,140,8,0,14,12,1,150
Caffè Latte,Venti®,Nonfat,N/A,170,0.4,10,25,23,16,150
Caffè Latte,Venti®,2%,N/A,240,9,35,24,22,16,150
Caffè Latte,Venti®,Whole,N/A,290,15,45,24,22,15,150
Caffè Latte,Venti®,Soy,N/A,190,7,0,16,11,13,150
Caffè Latte,Venti®,Coconut,N/A,170,11,0,18,16,2,150
Iced Caffè Latte,Tall,Nonfat,N/A,70,0.1,5,10,9,6,75
Iced Caffè Latte,Tall,2%,N/A,100,3.5,15,10,9,6,75
Iced Caffè Latte,Tall,Whole,N/A,120,6,20,10,9,6,75
Iced Caffè Latte,Tall,Soy,N/A,80,3,0,7,4,5,75
Iced Caffè Latte,Tall,Coconut,N/A,70,4,0,7,6,1,75
Iced Caffè Latte,Grande,Nonfat,N/A,90,0.2,5,13,11,8,150
Iced Caffè Latte,Grande,2%,N/A,130,4.5,20,13,11,8,150
Iced Caffè Latte,Grande,Whole,N/A,150,7,25,13,11,8,150
Iced Caffè Latte,Grande,Soy,N/A,100,3.5,0,9,5,7,150
Iced Caffè Latte,Grande,Coconut,N/A,90,5,0,10,8,1,150
Iced Caffè Latte,Venti®,Nonfat,N/A,130,0.3,5,19,16,12,225
Iced Caffè Latte,Venti®,2%,N/A,180,6,25,18,15,12,225
Iced Caffè Latte,Venti®,Whole,N/A,210,10,30,18,15,11,225
Iced Caffè Latte,Venti®,Soy,N/A,150,5,0,13,8,10,225
Iced Caffè Latte,Venti®,Coconut,N/A,130,7,0,14,11,2,225
Caffè Mocha,Short,Nonfat,No Whip,120,1.5,5,21,17,7,90
Caffè Mocha,Short,Nonfat,Whip,180,6,20,23,18,7,90
Caffè Mocha,Short,2%,No Whip,150,4,10,21,17,7,90
Caffè Mocha,Short,2%,Whip,200,9,30,22,18,7,90
Caffè Mocha,Short,Whole,No Whip,160,6,15,21,17,6,90
Caffè Mocha,Short,Whole,Whip,210,11,35,22,18,7,90
Caffè Mocha,Short,Soy,No Whip,130,3.5,0,18,13,6,90
Caffè Mocha,Short,Soy,Whip,180,9,20,20,14,6,90
Caffè Mocha,Short,Coconut,No Whip,130,4.5,0,19,15,2,90
Caffè Mocha,Short,Coconut,Whip,180,10,20,21,16,2,90
Caffè Mocha,Tall,Nonfat,No Whip,190,2,5,32,27,10,95
Caffè Mocha,Tall,Nonfat,Whip,250,8,25,34,28,11,95
Caffè Mocha,Tall,2%,No Whip,230,6,20,32,26,10,95
Caffè Mocha,Tall,2%,Whip,290,13,40,34,28,11,95
Caffè Mocha,Tall,Whole,No Whip,250,9,25,32,26,10,95
Caffè Mocha,Tall,Whole,Whip,310,16,45,34,28,10,95
Caffè Mocha,Tall,Soy,No Whip,200,5,0,28,20,9,95
Caffè Mocha,Tall,Soy,Whip,260,11,25,30,22,9,95
Caffè Mocha,Tall,Coconut,No Whip,190,7,0,29,23,3,95
Caffè Mocha,Tall,Coconut,Whip,250,13,25,30,25,3,95
Caffè Mocha,Grande,Nonfat,No Whip,250,2.5,5,42,34,13,175
Caffè Mocha,Grande,Nonfat,Whip,320,10,30,44,36,14,175
Caffè Mocha,Grande,2%,No Whip,290,8,25,42,34,13,175
Caffè Mocha,Grande,2%,Whip,360,15,50,44,35,13,175
Caffè Mocha,Grande,Whole,No Whip,330,12,30,42,34,13,175
Caffè Mocha,Grande,Whole,Whip,400,19,55,44,35,13,175
Caffè Mocha,Grande,Soy,No Whip,260,7,0,37,26,11,175
Caffè Mocha,Grande,Soy,Whip,330,14,25,39,28,12,175
Caffè Mocha,Grande,Coconut,No Whip,250,9,0,38,30,4,175
Caffè Mocha,Grande,Coconut,Whip,320,16,25,40,32,4,175
Caffè Mocha,Venti®,Nonfat,No Whip,310,3.5,10,54,44,17,185
Caffè Mocha,Venti®,Nonfat,Whip,390,10,35,56,45,18,185
Caffè Mocha,Venti®,2%,No Whip,380,11,30,53,43,17,185
Caffè Mocha,Venti®,2%,Whip,450,18,55,55,45,17,185
Caffè Mocha,Venti®,Whole,No Whip,420,16,40,53,43,16,185
Caffè Mocha,Venti®,Whole,Whip,490,23,65,55,45,17,185
Caffè Mocha,Venti®,Soy,No Whip,330,9,0,46,34,15,185
Caffè Mocha,Venti®,Soy,Whip,400,16,25,48,35,15,185
Caffè Mocha,Venti®,Coconut,No Whip,320,12,0,48,38,5,185
Caffè Mocha,Venti®,Coconut,Whip,390,19,25,50,40,5,185
Iced Caffè Mocha,Tall,Nonfat,No Whip,150,2,5,27,22,7,95
Iced Caffè Mocha,Tall,Nonfat,Whip,240,10,30,30,23,7,95
Iced Caffè Mocha,Tall,2%,No Whip,180,4.5,10,27,21,7,95
Iced Caffè Mocha,Tall,2%,Whip,260,12,40,29,23,7,95
Iced Caffè Mocha,Tall,Whole,No Whip,190,6,15,27,21,7,95
Iced Caffè Mocha,Tall,Whole,Whip,270,14,45,29,23,7,95
Iced Caffè Mocha,Tall,Soy,No Whip,160,4,0,25,18,6,95
Iced Caffè Mocha,Tall,Soy,Whip,240,12,30,27,20,7,95
Iced Caffè Mocha,Tall,Coconut,No Whip,150,5,0,25,19,3,95
Iced Caffè Mocha,Tall,Coconut,Whip,240,13,30,27,22,3,95
Iced Caffè Mocha,Grande,Nonfat,No Whip,200,2.5,5,36,28,9,175
Iced Caffè Mocha,Grande,Nonfat,Whip,320,14,45,40,30,10,175
Iced Caffè Mocha,Grande,2%,No Whip,230,6,15,36,28,9,175
Iced Caffè Mocha,Grande,2%,Whip,350,17,55,39,30,10,175
Iced Caffè Mocha,Grande,Whole,No Whip,250,8,15,36,28,9,175
Iced Caffè Mocha,Grande,Whole,Whip,360,19,60,39,30,9,175
Iced Caffè Mocha,Grande,Soy,No Whip,210,5,0,33,24,8,175
Iced Caffè Mocha,Grande,Soy,Whip,330,16,40,37,26,9,175
Iced Caffè Mocha,Grande,Coconut,No Whip,210,6,0,34,26,4,175
Iced Caffè Mocha,Grande,Coconut,Whip,320,18,40,37,29,4,175
Iced Caffè Mocha,Venti®,Nonfat,No Whip,300,3.5,5,53,41,13,265
Iced Caffè Mocha,Venti®,Nonfat,Whip,410,15,45,57,43,14,265
Iced Caffè Mocha,Venti®,2%,No Whip,340,8,20,53,41,13,265
Iced Caffè Mocha,Venti®,2%,Whip,450,19,60,56,43,13,265
Iced Caffè Mocha,Venti®,Whole,No Whip,360,11,25,53,41,12,265
Iced Caffè Mocha,Venti®,Whole,Whip,470,22,65,56,43,13,265
Iced Caffè Mocha,Venti®,Soy,No Whip,310,7,0,49,35,12,265
Iced Caffè Mocha,Venti®,Soy,Whip,430,18,40,53,37,12,265
Iced Caffè Mocha,Venti®,Coconut,No Whip,300,9,0,50,38,5,265
Iced Caffè Mocha,Venti®,Coconut,Whip,420,20,40,53,41,6,265
Cappuccino,Short,Nonfat,N/A,50,0.1,5,8,7,5,75
Cappuccino,Short,2%,N/A,80,3,10,8,7,5,75
Cappuccino,Short,Whole,N/A,90,4.5,15,8,7,5,75
Cappuccino,Short,Soy,N/A,50,1.5,0,4,3,3,75
Cappuccino,Short,Coconut,N/A,70,4,0,7,6,1,75
Cappuccino,Tall,Nonfat,N/A,60,0.1,5,9,8,6,75
Cappuccino,Tall,2%,N/A,90,3.5,15,9,8,6,75
Cappuccino,Tall,Whole,N/A,110,6,15,9,8,6,75
Cappuccino,Tall,Soy,N/A,70,3,0,7,4,5,75
Cappuccino,Tall,Coconut,N/A,100,6,0,11,9,1,75
Cappuccino,Grande,Nonfat,N/A,80,0.2,5,12,10,8,150
Cappuccino,Grande,2%,N/A,120,4,15,12,10,8,150
Cappuccino,Grande,Whole,N/A,140,7,20,12,10,7,150
Cappuccino,Grande,Soy,N/A,100,3.5,0,9,5,7,150
Cappuccino,Grande,Coconut,N/A,130,8,0,14,12,1,150
Cappuccino,Venti®,Nonfat,N/A,110,0.2,5,16,14,10,150
Cappuccino,Venti®,2%,N/A,150,6,25,16,14,10,150
Cappuccino,Venti®,Whole,N/A,190,9,30,16,14,10,150
Cappuccino,Venti®,Soy,N/A,120,4.5,0,11,7,9,150
Cappuccino,Venti®,Coconut,N/A,170,10,0,18,15,2,150
Caramel Macchiato,Short,Nonfat,N/A,100,1,5,16,15,5,75
Caramel Macchiato,Short,2%,N/A,120,4,15,16,15,5,75
Caramel Macchiato,Short,Whole,N/A,140,6,20,16,15,5,75
Caramel Macchiato,Short,Soy,N/A,100,3,0,14,11,4,75
Caramel Macchiato,Short,Coconut,N/A,100,4,0,14,13,1,75
Caramel Macchiato,Tall,Nonfat,N/A,150,1.5,10,27,25,8,75
Caramel Macchiato,Tall,2%,N/A,190,6,20,26,25,8,75
Caramel Macchiato,Tall,Whole,N/A,210,9,25,26,25,8,75
Caramel Macchiato,Tall,Soy,N/A,160,4.5,5,22,19,6,75
Caramel Macchiato,Tall,Coconut,N/A,150,6,5,23,21,1,75
Caramel Macchiato,Grande,Nonfat,N/A,200,1.5,10,36,34,11,150
Caramel Macchiato,Grande,2%,N/A,250,7,25,35,33,10,150
Caramel Macchiato,Grande,Whole,N/A,280,11,35,35,33,10,150
Caramel Macchiato,Grande,Soy,N/A,210,6,5,30,26,9,150
Caramel Macchiato,Grande,Coconut,N/A,200,8,5,32,29,1,150
Caramel Macchiato,Venti®,Nonfat,N/A,250,1.5,10,45,42,13,150
Caramel Macchiato,Venti®,2%,N/A,310,9,35,44,42,13,150
Caramel Macchiato,Venti®,Whole,N/A,350,13,40,44,42,12,150
Caramel Macchiato,Venti®,Soy,N/A,260,7,5,38,33,11,150
Caramel Macchiato,Venti®,Coconut,N/A,250,10,5,39,36,1,150
Iced Caramel Macchiato,Tall,Nonfat,N/A,140,1.5,10,26,24,7,75
Iced Caramel Macchiato,Tall,2%,N/A,180,5,20,26,24,7,75
Iced Caramel Macchiato,Tall,Whole,N/A,200,8,25,26,24,7,75
Iced Caramel Macchiato,Tall,Soy,N/A,160,4.5,5,22,19,6,75
Iced Caramel Macchiato,Tall,Coconut,N/A,140,6,5,23,21,1,75
Iced Caramel Macchiato,Grande,Nonfat,N/A,210,2,10,37,35,10,150
Iced Caramel Macchiato,Grande,2%,N/A,250,7,25,37,34,10,150
Iced Caramel Macchiato,Grande,Whole,N/A,280,11,35,37,34,9,150
Iced Caramel Macchiato,Grande,Soy,N/A,220,6,5,32,28,8,150
Iced Caramel Macchiato,Grande,Coconut,N/A,210,8,5,33,30,1,150
Iced Caramel Macchiato,Venti®,Nonfat,N/A,290,2.5,15,53,50,14,225
Iced Caramel Macchiato,Venti®,2%,N/A,350,9,35,53,49,13,225
Iced Caramel Macchiato,Venti®,Whole,N/A,390,14,45,53,49,13,225
Iced Caramel Macchiato,Venti®,Soy,N/A,310,8,5,47,40,11,225
Iced Caramel Macchiato,Venti®,Coconut,N/A,290,10,5,47,43,2,225
Cinnamon Dolce Latte,Short,Nonfat,No Whip,100,0.1,5,20,19,6,75
Cinnamon Dolce Latte,Short,Nonfat,Whip,160,5,20,22,21,6,75
Cinnamon Dolce Latte,Short,2%,No Whip,130,3,15,20,19,6,75
Cinnamon Dolce Latte,Short,2%,Whip,180,8,30,22,20,6,75
Cinnamon Dolce Latte,Short,Whole,No Whip,150,5,15,20,19,5,75
Cinnamon Dolce Latte,Short,Whole,Whip,200,10,35,22,20,6,75
Cinnamon Dolce Latte,Short,Soy,No Whip,110,2.5,0,17,15,5,75
Cinnamon Dolce Latte,Short,Soy,Whip,170,8,20,19,16,5,75
Cinnamon Dolce Latte,Short,Coconut,No Whip,110,3.5,0,18,17,1,75
Cinnamon Dolce Latte,Short,Coconut,Whip,160,9,20,20,19,1,75
Cinnamon Dolce Latte,Tall,Nonfat,No Whip,160,0.2,5,31,30,9,75
Cinnamon Dolce Latte,Tall,Nonfat,Whip,220,6,30,33,31,9,75
Cinnamon Dolce Latte,Tall,2%,No Whip,200,5,20,30,29,9,75
Cinnamon Dolce Latte,Tall,2%,Whip,270,11,45,32,31,9,75
Cinnamon Dolce Latte,Tall,Whole,No Whip,230,8,25,30,29,8,75
Cinnamon Dolce Latte,Tall,Whole,Whip,290,14,50,32,31,9,75
Cinnamon Dolce Latte,Tall,Soy,No Whip,170,4,0,26,23,7,75
Cinnamon Dolce Latte,Tall,Soy,Whip,240,10,20,28,25,8,75
Cinnamon Dolce Latte,Tall,Coconut,No Whip,160,6,0,27,26,1,75
Cinnamon Dolce Latte,Tall,Coconut,Whip,230,12,20,29,28,1,75
Cinnamon Dolce Latte,Grande,Nonfat,No Whip,210,0.3,5,40,38,11,150
Cinnamon Dolce Latte,Grande,Nonfat,Whip,280,7,30,43,40,12,150
Cinnamon Dolce Latte,Grande,2%,No Whip,260,6,25,40,38,11,150
Cinnamon Dolce Latte,Grande,2%,Whip,330,13,50,42,40,12,150
Cinnamon Dolce Latte,Grande,Whole,No Whip,300,10,30,40,38,11,150
Cinnamon Dolce Latte,Grande,Whole,Whip,370,17,60,42,40,11,150
Cinnamon Dolce Latte,Grande,Soy,No Whip,220,5,0,34,30,9,150
Cinnamon Dolce Latte,Grande,Soy,Whip,300,12,25,37,32,10,150
Cinnamon Dolce Latte,Grande,Coconut,No Whip,210,7,0,36,33,1,150
Cinnamon Dolce Latte,Grande,Coconut,Whip,290,14,25,38,36,2,150
Cinnamon Dolce Latte,Venti®,Nonfat,No Whip,270,0.3,10,51,49,15,150
Cinnamon Dolce Latte,Venti®,Nonfat,Whip,340,7,35,54,51,15,150
Cinnamon Dolce Latte,Venti®,2%,No Whip,330,8,35,50,48,15,150
Cinnamon Dolce Latte,Venti®,2%,Whip,410,15,60,53,50,15,150
